SampleID	raw_reads	cutadapt_reads	final_reads
P01_D00_010_W4A	119710	117727	45170
P01_D10_020_W4A	68464	55398	29333
P01_D20_050_W4A	22142	2601	1319
P01_D50_100_W4A	31608	2302	1056
P02_D00_010_C0A	64386	61085	43184
P02_D10_020_C0A	80029	58886	39906
P02_D20_050_C0A	38259	2929	1167
P02_D50_100_C0A	13536	136	3
P03_D00_010_W4B	32251	4262	1343
P03_D10_020_W4B	73491	32145	19336
P03_D20_050_W4B	43447	4719	2714
P03_D50_100_W4B	56116	4106	1735
P04_D00_010_C0B	94788	91156	57722
P04_D10_020_C0B	74363	9559	5643
P04_D20_050_C0B	67956	3492	1372
P04_D50_100_C0B	58391	3625	1706
P05_D00_010_W4C	62564	9377	4377
P05_D10_020_W4C	64971	7628	4794
P05_D20_050_W4C	38833	2409	1160
P05_D50_100_W4C	50164	3046	1244
P06_D00_010_C0C	80676	75732	52304
P06_D10_020_C0C	115934	96623	66363
P06_D20_050_C0C	88056	3432	1174
P06_D50_100_C0C	75582	5990	3464
P07_D00_010_W4D	80404	44341	24042
P07_D10_020_W4D	82941	68622	37085
P07_D20_050_W4D	45444	2793	1436
P07_D50_100_W4D	58527	3381	1561
P08_D00_010_C0D	56635	4768	2524
P08_D10_020_C0D	65229	7171	4113
P08_D20_050_C0D	48452	2997	1252
P08_D50_100_C0D	65088	4002	1596
P09_D00_010_W4E	68165	65433	34742
P09_D10_020_W4E	111597	82293	55568
P09_D20_050_W4E	53215	5915	3152
P09_D50_100_W4E	49969	5091	2662
P10_D00_010_C0E	52385	50243	33858
P10_D10_020_C0E	10827	4448	2963
P10_D20_050_C0E	49794	14961	12051
P10_D50_100_C0E	46678	4067	2199
