SampleID	start_rc	start_asv	final_rc	final_asv
P00_D00_000_NNN	359	27	NA	NA
P01_D00_010_W4A	138823	7310	138631	7279
P01_D10_020_W4A	115924	6747	115869	6730
P01_D20_050_W4A	13581	1145	13540	1138
P01_D50_100_W4A	9358	341	9346	334
P02_D00_010_C0A	143134	7425	143092	7410
P02_D10_020_C0A	113996	6802	113964	6786
P02_D20_050_C0A	1597	358	1580	351
P02_D50_100_C0A	2	2	NA	NA
P03_D00_010_W4B	102528	6897	102369	6875
P03_D10_020_W4B	78057	6219	78002	6199
P03_D20_050_W4B	2461	307	2436	299
P03_D50_100_W4B	2450	343	2417	334
P04_D00_010_C0B	120227	7506	120171	7489
P04_D10_020_C0B	34581	3447	34564	3443
P04_D20_050_C0B	1163	371	1126	364
P04_D50_100_C0B	1563	221	1502	210
P05_D00_010_W4C	40600	3802	40578	3792
P05_D10_020_W4C	25434	4013	25401	3998
P05_D20_050_W4C	2544	453	2466	443
P05_D50_100_W4C	3434	406	3336	399
P06_D00_010_C0C	109284	7329	109211	7304
P06_D10_020_C0C	196476	8001	196357	7975
P06_D20_050_C0C	1014	297	1004	292
P06_D50_100_C0C	1452	369	1403	361
P07_D00_010_W4D	189720	7643	189477	7613
P07_D10_020_W4D	92769	6721	92724	6701
P07_D20_050_W4D	5568	887	5500	874
P07_D50_100_W4D	7020	725	6867	702
P08_D00_010_C0D	26920	3144	26845	3126
P08_D10_020_C0D	11143	1200	11079	1180
P08_D20_050_C0D	8146	1240	7702	1220
P08_D50_100_C0D	16754	780	16649	763
P09_D00_010_W4E	148981	7982	148928	7960
P09_D10_020_W4E	176866	7874	176607	7848
P09_D20_050_W4E	9772	466	9584	450
P09_D50_100_W4E	20560	512	20330	504
P10_D00_010_C0E	151826	7615	151732	7587
P10_D10_020_C0E	154772	6648	154700	6626
P10_D20_050_C0E	11108	285	11070	277
P10_D50_100_C0E	8940	2303	8892	2291
