SampleID	Plot	Depth	Treatment	Temp	Pairing	raw_rc	cutadapt_rc	final_rc	per_reads_kept	no_asv
P00_D00_000_NNN	P00	00_000	Negative	N	N	212	137	2	0.009	2
P01_D00_010_W4A	P01	00_010	Warm	4	A	73424	72970	6979	0.095	36
P01_D10_020_W4A	P01	10_020	Warm	4	A	48831	48301	7658	0.157	16
P01_D20_050_W4A	P01	20_050	Warm	4	A	231	177	29	0.126	2
P01_D50_100_W4A	P01	50_100	Warm	4	A	207	113	27	0.13	2
P02_D00_010_C0A	P02	00_010	Control	0	A	49248	48540	21540	0.437	28
P02_D10_020_C0A	P02	10_020	Control	0	A	24274	23953	11654	0.48	10
P02_D20_050_C0A	P02	20_050	Control	0	A	208	121	2	0.01	2
P02_D50_100_C0A	P02	50_100	Control	0	A	1599	1528	411	0.257	6
P03_D00_010_W4B	P03	00_010	Warm	4	B	178799	175920	89813	0.502	45
P03_D10_020_W4B	P03	10_020	Warm	4	B	12756	12582	9132	0.716	9
P03_D20_050_W4B	P03	20_050	Warm	4	B	4336	4232	3581	0.826	7
P03_D50_100_W4B	P03	50_100	Warm	4	B	138	73	5	0.036	4
P04_D00_010_C0B	P04	00_010	Control	0	B	26457	26156	13604	0.514	36
P04_D10_020_C0B	P04	10_020	Control	0	B	4207	4134	232	0.055	5
P04_D20_050_C0B	P04	20_050	Control	0	B	6471	6366	4264	0.659	6
P04_D50_100_C0B	P04	50_100	Control	0	B	2909	2837	2397	0.824	4
P05_D00_010_W4C	P05	00_010	Warm	4	C	9961	9769	8625	0.866	7
P05_D10_020_W4C	P05	10_020	Warm	4	C	2876	2679	5	0.002	3
P05_D20_050_W4C	P05	20_050	Warm	4	C	232	110	0	0	0
P05_D50_100_W4C	P05	50_100	Warm	4	C	877	726	3	0.003	2
P06_D00_010_C0C	P06	00_010	Control	0	C	35277	34658	25426	0.721	20
P06_D10_020_C0C	P06	10_020	Control	0	C	31590	30908	21447	0.679	11
P06_D20_050_C0C	P06	20_050	Control	0	C	738	643	3	0.004	3
P06_D50_100_C0C	P06	50_100	Control	0	C	436	128	2	0.005	2
P07_D00_010_W4D	P07	00_010	Warm	4	D	24302	24061	11949	0.492	9
P07_D10_020_W4D	P07	10_020	Warm	4	D	54660	53639	44015	0.805	17
P07_D20_050_W4D	P07	20_050	Warm	4	D	330	228	9	0.027	4
P07_D50_100_W4D	P07	50_100	Warm	4	D	374	266	65	0.174	4
P08_D00_010_C0D	P08	00_010	Control	0	D	4080	3819	3298	0.808	11
P08_D10_020_C0D	P08	10_020	Control	0	D	7259	7116	5998	0.826	6
P08_D20_050_C0D	P08	20_050	Control	0	D	636	506	209	0.329	4
P08_D50_100_C0D	P08	50_100	Control	0	D	656	596	231	0.352	4
P09_D00_010_W4E	P09	00_010	Warm	4	E	25665	25413	7541	0.294	28
P09_D10_020_W4E	P09	10_020	Warm	4	E	16042	15922	2333	0.145	11
P09_D20_050_W4E	P09	20_050	Warm	4	E	1017	909	1	0.001	1
P09_D50_100_W4E	P09	50_100	Warm	4	E	171	63	1	0.006	1
P10_D00_010_C0E	P10	00_010	Control	0	E	56767	56414	21938	0.386	44
P10_D10_020_C0E	P10	10_020	Control	0	E	17317	17171	12063	0.697	13
P10_D20_050_C0E	P10	20_050	Control	0	E	985	879	0	0	0
P10_D50_100_C0E	P10	50_100	Control	0	E	617	237	1	0.002	1
