SampleID	raw_reads	cutadapt_reads
P00_D00_000_NNN	47622	29518
P01_D00_010_W4A	49965	48866
P01_D10_020_W4A	22904	22346
P01_D20_050_W4A	394	281
P01_D50_100_W4A	7014	6817
P02_D00_010_C0A	24935	24026
P02_D10_020_C0A	19389	18764
P02_D20_050_C0A	63388	62757
P02_D50_100_C0A	30114	29834
P03_D00_010_W4B	51320	50677
P03_D10_020_W4B	44859	44401
P03_D20_050_W4B	37422	37004
P03_D50_100_W4B	38671	38272
P04_D00_010_C0B	48228	47743
P04_D10_020_C0B	38244	37861
P04_D20_050_C0B	40042	39383
P04_D50_100_C0B	35885	32509
P05_D00_010_W4C	45254	44829
P05_D10_020_W4C	42162	35611
P05_D20_050_W4C	21806	21611
P05_D50_100_W4C	11804	11686
P06_D00_010_C0C	50919	50379
P06_D10_020_C0C	46097	45763
P06_D20_050_C0C	49338	48923
P06_D50_100_C0C	16312	16170
P07_D00_010_W4D	42163	41649
P07_D10_020_W4D	53157	51899
P07_D20_050_W4D	32234	31892
P07_D50_100_W4D	33024	32668
P08_D00_010_C0D	39249	39009
P08_D10_020_C0D	41393	40954
P08_D20_050_C0D	33336	33011
P08_D50_100_C0D	37368	31983
P09_D00_010_W4E	46685	44957
P09_D10_020_W4E	43854	43536
P09_D20_050_W4E	36702	26997
P09_D50_100_W4E	12872	4003
P10_D00_010_C0E	46375	45952
P10_D10_020_C0E	40900	40630
P10_D20_050_C0E	26064	25766
P10_D50_100_C0E	24518	18876
