SampleID	raw_rc	cutadapt_rc	lotus3_rc	curate_rc
P00_D00_000_NNN	47622	29518	23941	NA
P01_D00_010_W4A	49965	48866	37078	22133
P01_D10_020_W4A	22904	22346	19128	16267
P01_D20_050_W4A	394	281	221	NA
P01_D50_100_W4A	7014	6817	5691	4573
P02_D00_010_C0A	24935	24026	20077	18400
P02_D10_020_C0A	19389	18764	15942	7671
P02_D20_050_C0A	63388	62757	52244	42816
P02_D50_100_C0A	30114	29834	25653	24728
P03_D00_010_W4B	51320	50677	39935	28818
P03_D10_020_W4B	44859	44401	37830	28396
P03_D20_050_W4B	37422	37004	31733	31730
P03_D50_100_W4B	38671	38272	32641	25705
P04_D00_010_C0B	48228	47743	39828	21570
P04_D10_020_C0B	38244	37861	32152	26650
P04_D20_050_C0B	40042	39383	32667	23244
P04_D50_100_C0B	35885	32509	27786	23989
P05_D00_010_W4C	45254	44829	37990	28728
P05_D10_020_W4C	42162	35611	30352	26501
P05_D20_050_W4C	21806	21611	18483	12743
P05_D50_100_W4C	11804	11686	10192	10189
P06_D00_010_C0C	50919	50379	39810	25866
P06_D10_020_C0C	46097	45763	39087	25365
P06_D20_050_C0C	49338	48923	40591	27869
P06_D50_100_C0C	16312	16170	14165	11420
P07_D00_010_W4D	42163	41649	35343	18410
P07_D10_020_W4D	53157	51899	39748	24543
P07_D20_050_W4D	32234	31892	27651	22825
P07_D50_100_W4D	33024	32668	28039	21976
P08_D00_010_C0D	39249	39009	33275	31217
P08_D10_020_C0D	41393	40954	35481	22129
P08_D20_050_C0D	33336	33011	28657	22231
P08_D50_100_C0D	37368	31983	27881	14944
P09_D00_010_W4E	46685	44957	33264	21406
P09_D10_020_W4E	43854	43536	36805	30122
P09_D20_050_W4E	36702	26997	23364	13587
P09_D50_100_W4E	12872	4003	3442	3420
P10_D00_010_C0E	46375	45952	35538	17774
P10_D10_020_C0E	40900	40630	35204	27265
P10_D20_050_C0E	26064	25766	22433	19668
P10_D50_100_C0E	24518	18876	16358	13826
