SampleID	Plot	Depth	Treatment	Temp	Pairing	ssu_reads	ssu_asvs	its_reads	its_asvs	amf_reads	amf_asvs	oo_reads	oo_asvs
P01_D00_010_W4A	P01	00_010	Warm	4	A	138631	7279	37610	627	22133	97	5842	11
P02_D00_010_C0A	P02	00_010	Control	0	A	143092	7410	41556	525	18400	105	18602	18
P03_D00_010_W4B	P03	00_010	Warm	4	B	102369	6875	969	221	28818	88	51535	11
P04_D00_010_C0B	P04	00_010	Control	0	B	120171	7489	52279	585	21570	128	12398	20
P05_D00_010_W4C	P05	00_010	Warm	4	C	40578	3792	3985	52	28728	66	6175	6
P06_D00_010_C0C	P06	00_010	Control	0	C	109211	7304	45208	433	25866	110	25133	16
P07_D00_010_W4D	P07	00_010	Warm	4	D	189477	7613	20741	129	18410	43	5832	4
P08_D00_010_C0D	P08	00_010	Control	0	D	26845	3126	2239	36	31217	49	3108	7
P09_D00_010_W4E	P09	00_010	Warm	4	E	148928	7960	28631	431	21406	85	4999	14
P10_D00_010_C0E	P10	00_010	Control	0	E	151732	7587	31723	558	17774	153	19458	28
P01_D10_020_W4A	P01	10_020	Warm	4	A	115869	6730	23785	288	16267	37	2734	8
P02_D10_020_C0A	P02	10_020	Control	0	A	113964	6786	36160	280	7671	30	11558	9
P03_D10_020_W4B	P03	10_020	Warm	4	B	78002	6199	17358	184	28396	59	8361	2
P04_D10_020_C0B	P04	10_020	Control	0	B	34564	3443	5152	41	26650	49	232	5
P05_D10_020_W4C	P05	10_020	Warm	4	C	25401	3998	3672	59	26501	65	NA	NA
P06_D10_020_C0C	P06	10_020	Control	0	C	196357	7975	53184	280	25365	65	20286	8
P07_D10_020_W4D	P07	10_020	Warm	4	D	92724	6701	32527	297	24543	130	42417	13
P08_D10_020_C0D	P08	10_020	Control	0	D	11079	1180	3631	40	22129	41	5997	5
P09_D10_020_W4E	P09	10_020	Warm	4	E	176607	7848	46749	178	30122	45	853	5
P10_D10_020_C0E	P10	10_020	Control	0	E	154700	6626	2610	64	27265	54	12062	12
P01_D20_050_W4A	P01	20_050	Warm	4	A	13540	1138	1203	23	NA	NA	NA	NA
P02_D20_050_C0A	P02	20_050	Control	0	A	1580	351	1081	16	42816	76	NA	NA
P03_D20_050_W4B	P03	20_050	Warm	4	B	2436	299	2062	48	31730	36	3581	7
P04_D20_050_C0B	P04	20_050	Control	0	B	1126	364	1217	29	23244	115	4262	4
P05_D20_050_W4C	P05	20_050	Warm	4	C	2466	443	1109	22	12743	17	NA	NA
P06_D20_050_C0C	P06	20_050	Control	0	C	1004	292	1073	24	27869	78	NA	NA
P07_D20_050_W4D	P07	20_050	Warm	4	D	5500	874	1093	17	22825	31	NA	NA
P08_D20_050_C0D	P08	20_050	Control	0	D	7702	1220	1031	25	22231	32	NA	NA
P09_D20_050_W4E	P09	20_050	Warm	4	E	9584	450	2864	19	13587	26	NA	NA
P10_D20_050_C0E	P10	20_050	Control	0	E	11070	277	11773	23	19668	16	NA	NA
P01_D50_100_W4A	P01	50_100	Warm	4	A	9346	334	973	26	4573	34	NA	NA
P02_D50_100_C0A	P02	50_100	Control	0	A	NA	NA	NA	NA	24728	29	395	5
P03_D50_100_W4B	P03	50_100	Warm	4	B	2417	334	1531	34	25705	38	NA	NA
P04_D50_100_C0B	P04	50_100	Control	0	B	1502	210	1468	25	23989	45	2395	2
P05_D50_100_W4C	P05	50_100	Warm	4	C	3336	399	1033	20	10189	17	NA	NA
P06_D50_100_C0C	P06	50_100	Control	0	C	1403	361	3138	28	11420	16	NA	NA
P07_D50_100_W4D	P07	50_100	Warm	4	D	6867	702	1147	24	21976	26	NA	NA
P08_D50_100_C0D	P08	50_100	Control	0	D	16649	763	1387	28	14944	15	231	4
P09_D50_100_W4E	P09	50_100	Warm	4	E	20330	504	2422	19	3420	17	NA	NA
P10_D50_100_C0E	P10	50_100	Control	0	E	8892	2291	1844	24	13826	14	NA	NA
